"column_name","data_type"
"Type","text"
"Days for shipping (real)","integer"
"Days for shipment (scheduled)","integer"
"Benefit per order","numeric"
"Sales per customer","numeric"
"Delivery Status","text"
"Late_delivery_risk","integer"
"Category Id","integer"
"Category Name","text"
"Customer City","text"
"Customer Country","text"
"Customer Email","text"
"Customer Fname","text"
"Customer Id","integer"
"Customer Lname","text"
"Customer Password","text"
"Customer Segment","text"
"Customer State","text"
"Customer Street","text"
"Customer Zipcode","text"
"Department Id","integer"
"Department Name","text"
"Latitude","numeric"
"Longitude","numeric"
"Market","text"
"Order City","text"
"Order Country","text"
"Order Customer Id","integer"
"Order Date (DateOrders)","timestamp without time zone"
"Order Id","integer"
"Order Item Cardprod Id","integer"
"Order Item Discount","numeric"
"Order Item Discount Rate","numeric"
"Order Item Id","integer"
"Order Item Product Price","numeric"
"Order Item Profit Ratio","numeric"
"Order Item Quantity","integer"
"Sales","numeric"
"Order Item Total","numeric"
"Order Profit Per Order","numeric"
"Order Region","text"
"Order State","text"
"Order Status","text"
"Order Zipcode","text"
"Product Card Id","integer"
"Product Category Id","integer"
"Product Description","text"
"Product Image","text"
"Product Name","text"
"Product Price","numeric"
"Product Status","text"
"Shipping Date (DateOrders)","timestamp without time zone"
"Shipping Mode","text"
